Capture name	Compartments	Time	Detection probability
Cap:t=0	All	0	0.4
Cap:t=1	All	1	0.4
Cap:t=2	All	2	0.4
Cap:t=3	All	3	0.4
Cap:t=4	All	4	0.4
Cap:t=5	All	5	0.4
Cap:t=6	All	6	0.4
Cap:t=7	All	7	0.4
Cap:t=8	All	8	0.4
Cap:t=9	All	9	0.4
Cap:t=10	All	10	0.4
Cap:t=11	All	11	0.4
Cap:t=12	All	12	0.4
Cap:t=13	All	13	0.4
Cap:t=14	All	14	0.4
Cap:t=15	All	15	0.4
Cap:t=16	All	16	0.4
Cap:t=17	All	17	0.4
Cap:t=18	All	18	0.4
Cap:t=19	All	19	0.4
Cap:t=20	All	20	0.4
Cap:t=21	All	21	0.4
Cap:t=22	All	22	0.4
Cap:t=23	All	23	0.4
Cap:t=24	All	24	0.4
Cap:t=25	All	25	0.4
Cap:t=26	All	26	0.4
Cap:t=27	All	27	0.4
Cap:t=28	All	28	0.4
Cap:t=29	All	29	0.4
Cap:t=30	All	30	0.4
Cap:t=31	All	31	0.4
Cap:t=32	All	32	0.4
Cap:t=33	All	33	0.4
Cap:t=34	All	34	0.4
Cap:t=35	All	35	0.4
Cap:t=36	All	36	0.4
Cap:t=37	All	37	0.4
Cap:t=38	All	38	0.4
Cap:t=39	All	39	0.4
Cap:t=40	All	40	0.4
Cap:t=41	All	41	0.4
Cap:t=42	All	42	0.4
Cap:t=43	All	43	0.4
Cap:t=44	All	44	0.4
Cap:t=45	All	45	0.4
Cap:t=46	All	46	0.4
Cap:t=47	All	47	0.4
Cap:t=48	All	48	0.4
Cap:t=49	All	49	0.4
Cap:t=50	All	50	0.4
Cap:t=51	All	51	0.4
Cap:t=52	All	52	0.4
Cap:t=53	All	53	0.4
Cap:t=54	All	54	0.4
Cap:t=55	All	55	0.4
Cap:t=56	All	56	0.4
Cap:t=57	All	57	0.4
Cap:t=58	All	58	0.4
Cap:t=59	All	59	0.4
Cap:t=60	All	60	0.4
Cap:t=61	All	61	0.4
Cap:t=62	All	62	0.4
Cap:t=63	All	63	0.4
Cap:t=64	All	64	0.4
Cap:t=65	All	65	0.4
Cap:t=66	All	66	0.4
Cap:t=67	All	67	0.4
Cap:t=68	All	68	0.4
Cap:t=69	All	69	0.4
Cap:t=70	All	70	0.4
Cap:t=71	All	71	0.4
Cap:t=72	All	72	0.4
Cap:t=73	All	73	0.4
Cap:t=74	All	74	0.4
Cap:t=75	All	75	0.4
Cap:t=76	All	76	0.4
Cap:t=77	All	77	0.4
Cap:t=78	All	78	0.4
Cap:t=79	All	79	0.4
Cap:t=80	All	80	0.4
Cap:t=81	All	81	0.4
Cap:t=82	All	82	0.4
Cap:t=83	All	83	0.4
Cap:t=84	All	84	0.4
Cap:t=85	All	85	0.4
Cap:t=86	All	86	0.4
Cap:t=87	All	87	0.4
Cap:t=88	All	88	0.4
Cap:t=89	All	89	0.4
Cap:t=90	All	90	0.4
Cap:t=91	All	91	0.4
Cap:t=92	All	92	0.4
Cap:t=93	All	93	0.4
Cap:t=94	All	94	0.4
Cap:t=95	All	95	0.4
Cap:t=96	All	96	0.4
Cap:t=97	All	97	0.4
Cap:t=98	All	98	0.4
Cap:t=99	All	99	0.4
Cap:t=100	All	100	0.4
