ID	Time
Ind. 1	74.949
Ind. 2	100.27
Ind. 3	86.4487
Ind. 4	99.4031
Ind. 5	95.4481
Ind. 6	87.6043
Ind. 7	110.086
Ind. 8	98.5799
Ind. 9	129.41
Ind. 10	94.1874
Ind. 11	82.8653
Ind. 12	92.0345
Ind. 13	95.1528
Ind. 14	81.3911
Ind. 16	96.3111
Ind. 17	98.978
Ind. 18	118.087
Ind. 19	91.3082
Ind. 21	99.4355
Ind. 22	75.9294
Ind. 23	100.638
Ind. 24	93.2357
Ind. 26	90.6305
Ind. 27	81.3136
Ind. 28	43.0344
Ind. 29	103.24
Ind. 30	107.924
Ind. 31	95.5602
Ind. 32	84.2913
Ind. 33	81.105
Ind. 35	103.161
Ind. 36	95.0727
Ind. 37	111.044
Ind. 38	79.4967
Ind. 39	98.647
Ind. 40	82.1879
Ind. 41	103.226
Ind. 42	102.123
Ind. 43	87.1156
Ind. 44	94.4831
Ind. 45	111.319
Ind. 46	93.5736
Ind. 47	108.054
Ind. 48	96.7285
Ind. 49	13.607
Ind. 50	94.9216
Ind. 51	86.9113
Ind. 52	86.5952
Ind. 53	63.8384
Ind. 54	85.239
Ind. 55	96.3242
Ind. 56	121.56
Ind. 57	106.187
Ind. 58	112.871
Ind. 59	69.443
Ind. 60	111.367
Ind. 61	97.2202
Ind. 62	90.6083
Ind. 63	101.059
Ind. 64	89.633
Ind. 65	113.659
Ind. 66	95.8128
Ind. 67	96.4776
Ind. 68	117.251
Ind. 69	103.809
Ind. 70	102.575
Ind. 71	69.3608
Ind. 72	109.777
Ind. 73	85.0825
Ind. 74	97.0481
Ind. 75	90.8109
Ind. 76	53.9911
Ind. 77	98.9065
Ind. 78	140.143
Ind. 79	98.2628
Ind. 80	117.51
Ind. 81	99.1676
Ind. 82	85.8404
Ind. 83	87.7639
Ind. 84	116.787
Ind. 85	95.6103
Ind. 86	80.6414
Ind. 87	120.902
Ind. 88	85.7954
Ind. 89	108.948
Ind. 90	88.9912
Ind. 91	93.4056
Ind. 92	146.913
Ind. 93	110.339
Ind. 94	97.7608
Ind. 95	112.547
Ind. 96	101.455
Ind. 97	88.2782
Ind. 98	85.7632
Ind. 99	78.4524
Ind. 100	77.5355
