Capture name	Compartments	Time	Detection probability
Cap:t=0,C1-1	C1-1	0	0.4
Cap:t=2,C1-1	C1-1	2	0.4
Cap:t=4,C1-1	C1-1	4	0.4
Cap:t=6,C1-1	C1-1	6	0.4
Cap:t=8,C1-1	C1-1	8	0.4
Cap:t=10,C1-1	C1-1	10	0.4
Cap:t=12,C1-1	C1-1	12	0.4
Cap:t=14,C1-1	C1-1	14	0.4
Cap:t=16,C1-1	C1-1	16	0.4
Cap:t=18,C1-1	C1-1	18	0.4
Cap:t=20,C1-1	C1-1	20	0.4
Cap:t=22,C1-1	C1-1	22	0.4
Cap:t=24,C1-1	C1-1	24	0.4
Cap:t=26,C1-1	C1-1	26	0.4
Cap:t=28,C1-1	C1-1	28	0.4
Cap:t=30,C1-1	C1-1	30	0.4
Cap:t=32,C1-1	C1-1	32	0.4
Cap:t=34,C1-1	C1-1	34	0.4
Cap:t=36,C1-1	C1-1	36	0.4
Cap:t=38,C1-1	C1-1	38	0.4
Cap:t=40,C1-1	C1-1	40	0.4
Cap:t=42,C1-1	C1-1	42	0.4
Cap:t=44,C1-1	C1-1	44	0.4
Cap:t=46,C1-1	C1-1	46	0.4
Cap:t=48,C1-1	C1-1	48	0.4
Cap:t=50,C1-1	C1-1	50	0.4
Cap:t=52,C1-1	C1-1	52	0.4
Cap:t=54,C1-1	C1-1	54	0.4
Cap:t=56,C1-1	C1-1	56	0.4
Cap:t=58,C1-1	C1-1	58	0.4
Cap:t=60,C1-1	C1-1	60	0.4
Cap:t=62,C1-1	C1-1	62	0.4
Cap:t=64,C1-1	C1-1	64	0.4
Cap:t=66,C1-1	C1-1	66	0.4
Cap:t=68,C1-1	C1-1	68	0.4
Cap:t=70,C1-1	C1-1	70	0.4
Cap:t=72,C1-1	C1-1	72	0.4
Cap:t=74,C1-1	C1-1	74	0.4
Cap:t=76,C1-1	C1-1	76	0.4
Cap:t=78,C1-1	C1-1	78	0.4
Cap:t=80,C1-1	C1-1	80	0.4
Cap:t=82,C1-1	C1-1	82	0.4
Cap:t=84,C1-1	C1-1	84	0.4
Cap:t=86,C1-1	C1-1	86	0.4
Cap:t=88,C1-1	C1-1	88	0.4
Cap:t=90,C1-1	C1-1	90	0.4
Cap:t=92,C1-1	C1-1	92	0.4
Cap:t=94,C1-1	C1-1	94	0.4
Cap:t=96,C1-1	C1-1	96	0.4
Cap:t=98,C1-1	C1-1	98	0.4
Cap:t=100,C1-1	C1-1	100	0.4
Cap:t=0,C1-5	C1-5	0	0.4
Cap:t=2,C1-5	C1-5	2	0.4
Cap:t=4,C1-5	C1-5	4	0.4
Cap:t=6,C1-5	C1-5	6	0.4
Cap:t=8,C1-5	C1-5	8	0.4
Cap:t=10,C1-5	C1-5	10	0.4
Cap:t=12,C1-5	C1-5	12	0.4
Cap:t=14,C1-5	C1-5	14	0.4
Cap:t=16,C1-5	C1-5	16	0.4
Cap:t=18,C1-5	C1-5	18	0.4
Cap:t=20,C1-5	C1-5	20	0.4
Cap:t=22,C1-5	C1-5	22	0.4
Cap:t=24,C1-5	C1-5	24	0.4
