Capture name	Compartments	Time	Detection probability
Cap:t=0	All	0	0.4
Cap:t=2	All	2	0.4
Cap:t=4	All	4	0.4
Cap:t=6	All	6	0.4
Cap:t=8	All	8	0.4
Cap:t=10	All	10	0.4
Cap:t=12	All	12	0.4
Cap:t=14	All	14	0.4
Cap:t=16	All	16	0.4
Cap:t=18	All	18	0.4
Cap:t=20	All	20	0.4
Cap:t=22	All	22	0.4
Cap:t=24	All	24	0.4
Cap:t=26	All	26	0.4
Cap:t=28	All	28	0.4
Cap:t=30	All	30	0.4
Cap:t=32	All	32	0.4
Cap:t=34	All	34	0.4
Cap:t=36	All	36	0.4
Cap:t=38	All	38	0.4
Cap:t=40	All	40	0.4
Cap:t=42	All	42	0.4
Cap:t=44	All	44	0.4
Cap:t=46	All	46	0.4
Cap:t=48	All	48	0.4
Cap:t=50	All	50	0.4
Cap:t=52	All	52	0.4
Cap:t=54	All	54	0.4
Cap:t=56	All	56	0.4
Cap:t=58	All	58	0.4
Cap:t=60	All	60	0.4
Cap:t=62	All	62	0.4
Cap:t=64	All	64	0.4
Cap:t=66	All	66	0.4
Cap:t=68	All	68	0.4
Cap:t=70	All	70	0.4
Cap:t=72	All	72	0.4
Cap:t=74	All	74	0.4
Cap:t=76	All	76	0.4
Cap:t=78	All	78	0.4
Cap:t=80	All	80	0.4
Cap:t=82	All	82	0.4
Cap:t=84	All	84	0.4
Cap:t=86	All	86	0.4
Cap:t=88	All	88	0.4
Cap:t=90	All	90	0.4
Cap:t=92	All	92	0.4
Cap:t=94	All	94	0.4
Cap:t=96	All	96	0.4
Cap:t=98	All	98	0.4
Cap:t=100	All	100	0.4
Cap:t=102	All	102	0.4
Cap:t=104	All	104	0.4
Cap:t=106	All	106	0.4
Cap:t=108	All	108	0.4
Cap:t=110	All	110	0.4
Cap:t=112	All	112	0.4
Cap:t=114	All	114	0.4
Cap:t=116	All	116	0.4
Cap:t=118	All	118	0.4
Cap:t=120	All	120	0.4
Cap:t=122	All	122	0.4
Cap:t=124	All	124	0.4
Cap:t=126	All	126	0.4
Cap:t=128	All	128	0.4
Cap:t=130	All	130	0.4
Cap:t=132	All	132	0.4
Cap:t=134	All	134	0.4
Cap:t=136	All	136	0.4
Cap:t=138	All	138	0.4
Cap:t=140	All	140	0.4
Cap:t=142	All	142	0.4
Cap:t=144	All	144	0.4
Cap:t=146	All	146	0.4
Cap:t=148	All	148	0.4
Cap:t=150	All	150	0.4
Cap:t=152	All	152	0.4
Cap:t=154	All	154	0.4
Cap:t=156	All	156	0.4
Cap:t=158	All	158	0.4
Cap:t=160	All	160	0.4
Cap:t=162	All	162	0.4
Cap:t=164	All	164	0.4
Cap:t=166	All	166	0.4
Cap:t=168	All	168	0.4
Cap:t=170	All	170	0.4
Cap:t=172	All	172	0.4
Cap:t=174	All	174	0.4
Cap:t=176	All	176	0.4
Cap:t=178	All	178	0.4
Cap:t=180	All	180	0.4
Cap:t=182	All	182	0.4
Cap:t=184	All	184	0.4
Cap:t=186	All	186	0.4
Cap:t=188	All	188	0.4
Cap:t=190	All	190	0.4
Cap:t=192	All	192	0.4
Cap:t=194	All	194	0.4
Cap:t=196	All	196	0.4
Cap:t=198	All	198	0.4
Cap:t=200	All	200	0.4
