Capture name	Compartments	Time	Detection probability
Cap:t=0,Prey	Prey	0	0.4
Cap:t=1,Prey	Prey	1	0.4
Cap:t=2,Prey	Prey	2	0.4
Cap:t=3,Prey	Prey	3	0.4
Cap:t=4,Prey	Prey	4	0.4
Cap:t=5,Prey	Prey	5	0.4
Cap:t=6,Prey	Prey	6	0.4
Cap:t=7,Prey	Prey	7	0.4
Cap:t=8,Prey	Prey	8	0.4
Cap:t=9,Prey	Prey	9	0.4
Cap:t=10,Prey	Prey	10	0.4
Cap:t=11,Prey	Prey	11	0.4
Cap:t=12,Prey	Prey	12	0.4
Cap:t=13,Prey	Prey	13	0.4
Cap:t=14,Prey	Prey	14	0.4
Cap:t=15,Prey	Prey	15	0.4
Cap:t=16,Prey	Prey	16	0.4
Cap:t=17,Prey	Prey	17	0.4
Cap:t=18,Prey	Prey	18	0.4
Cap:t=19,Prey	Prey	19	0.4
Cap:t=20,Prey	Prey	20	0.4
Cap:t=21,Prey	Prey	21	0.4
Cap:t=22,Prey	Prey	22	0.4
Cap:t=23,Prey	Prey	23	0.4
Cap:t=24,Prey	Prey	24	0.4
Cap:t=25,Prey	Prey	25	0.4
Cap:t=26,Prey	Prey	26	0.4
Cap:t=27,Prey	Prey	27	0.4
Cap:t=28,Prey	Prey	28	0.4
Cap:t=29,Prey	Prey	29	0.4
Cap:t=30,Prey	Prey	30	0.4
Cap:t=31,Prey	Prey	31	0.4
Cap:t=32,Prey	Prey	32	0.4
Cap:t=33,Prey	Prey	33	0.4
Cap:t=34,Prey	Prey	34	0.4
Cap:t=35,Prey	Prey	35	0.4
Cap:t=36,Prey	Prey	36	0.4
Cap:t=37,Prey	Prey	37	0.4
Cap:t=38,Prey	Prey	38	0.4
Cap:t=39,Prey	Prey	39	0.4
Cap:t=40,Prey	Prey	40	0.4
