ID	Time
Ind. 1	15.3514
Ind. 2	37.7969
Ind. 3	34.3569
Ind. 4	46.3336
Ind. 5	32.7484
Ind. 6	52.7194
Ind. 7	49.4549
Ind. 8	28.7882
Ind. 9	43.2577
Ind. 10	24.4033
Ind. 11	66.0827
Ind. 12	20.193
Ind. 13	53.3397
Ind. 14	48.4872
Ind. 15	29.1494
Ind. 16	30.7495
Ind. 17	48.1563
Ind. 18	19.7591
Ind. 19	44.3633
Ind. 20	64.8889
Ind. 21	33.6624
Ind. 22	47.1291
Ind. 23	98.2467
Ind. 24	17.4516
Ind. 25	20.8697
Ind. 26	41.8166
Ind. 27	25.3308
Ind. 28	39.5673
Ind. 29	33.1419
Ind. 30	46.9193
Ind. 31	32.0362
Ind. 32	30.8876
Ind. 33	51.1859
Ind. 34	21.1035
Ind. 35	19.1084
Ind. 36	34.1056
Ind. 37	53.1366
Ind. 38	46.8792
Ind. 39	60.039
Ind. 40	14.8648
Ind. 41	26.672
Ind. 42	29.8831
Ind. 43	27.6354
Ind. 44	75.3293
Ind. 45	42.3206
Ind. 46	54.5387
Ind. 47	44.4842
Ind. 48	37.6446
Ind. 49	64.4625
Ind. 50	64.0456
Ind. 51	54.3878
Ind. 52	39.5749
Ind. 53	20.3766
Ind. 54	23.946
Ind. 55	26.2014
Ind. 56	17.2544
Ind. 57	25.0426
Ind. 58	89.43
Ind. 59	22.8657
Ind. 60	57.2442
Ind. 61	22.7457
Ind. 62	28.2971
Ind. 63	12.806
Ind. 64	46.6511
Ind. 65	78.7747
Ind. 66	47.2334
Ind. 67	34.3185
Ind. 68	30.5319
Ind. 69	46.4562
Ind. 70	69.2894
Ind. 71	47.9302
Ind. 74	32.098
Ind. 75	33.4001
Ind. 76	54.5651
Ind. 77	36.3256
Ind. 78	82.1635
Ind. 80	40.5227
Ind. 81	62.6497
Ind. 82	41.5583
Ind. 83	30.4442
Ind. 84	17.858
Ind. 85	85.3957
Ind. 86	31.8948
Ind. 87	13.3334
Ind. 88	18.7506
Ind. 89	43.3227
Ind. 90	26.6842
Ind. 91	24.9185
Ind. 92	43.3104
Ind. 93	25.2294
Ind. 94	55.8
Ind. 95	31.5924
Ind. 96	25.3739
Ind. 97	23.9649
Ind. 98	20.3033
Ind. 99	68.3595
Ind. 100	35.6438
Ind. 101	13.5459
