ID	Time	Group	DS
Ind. 1	0	G1	I
Ind. 2	0	G1	S
Ind. 3	0	G1	S
Ind. 4	0	G1	S
Ind. 5	0	G1	S
Ind. 6	0	G1	S
Ind. 7	0	G1	S
Ind. 8	0	G1	S
Ind. 9	0	G1	S
Ind. 10	0	G1	S
Ind. 11	0	G1	S
Ind. 12	0	G1	S
Ind. 13	0	G1	S
Ind. 14	0	G1	S
Ind. 15	0	G1	S
Ind. 16	0	G1	S
Ind. 17	0	G1	S
Ind. 18	0	G1	S
Ind. 19	0	G1	S
Ind. 20	0	G1	S
Ind. 21	0	G2	I
Ind. 22	0	G2	S
Ind. 23	0	G2	S
Ind. 24	0	G2	S
Ind. 25	0	G2	S
Ind. 26	0	G2	S
Ind. 27	0	G2	S
Ind. 28	0	G2	S
Ind. 29	0	G2	S
Ind. 30	0	G2	S
Ind. 31	0	G2	S
Ind. 32	0	G2	S
Ind. 33	0	G2	S
Ind. 34	0	G2	S
Ind. 35	0	G2	S
Ind. 36	0	G2	S
Ind. 37	0	G2	S
Ind. 38	0	G2	S
Ind. 39	0	G2	S
Ind. 40	0	G2	S
Ind. 41	0	G3	I
Ind. 42	0	G3	S
Ind. 43	0	G3	S
Ind. 44	0	G3	S
Ind. 45	0	G3	S
Ind. 46	0	G3	S
Ind. 47	0	G3	S
Ind. 48	0	G3	S
Ind. 49	0	G3	S
Ind. 50	0	G3	S
Ind. 51	0	G3	S
Ind. 52	0	G3	S
Ind. 53	0	G3	S
Ind. 54	0	G3	S
Ind. 55	0	G3	S
Ind. 56	0	G3	S
Ind. 57	0	G3	S
Ind. 58	0	G3	S
Ind. 59	0	G3	S
Ind. 60	0	G3	S
Ind. 61	0	G4	I
Ind. 62	0	G4	S
Ind. 63	0	G4	S
Ind. 64	0	G4	S
Ind. 65	0	G4	S
Ind. 66	0	G4	S
Ind. 67	0	G4	S
Ind. 68	0	G4	S
Ind. 69	0	G4	S
Ind. 70	0	G4	S
Ind. 71	0	G4	S
