"l","l'",Value
"Jakarta","Tokyo","0.00856062"
"Delhi","Tokyo","0.00848653"
"Manila","Tokyo","0.0163928"
"Sao-Paulo","Tokyo","0.00269085"
"Seoul","Tokyo","0.0413606"
"Mumbai","Tokyo","0.00737302"
"Shanghai","Tokyo","0.0274933"
"Mexico-City","Tokyo","0.00440526"
"Guangzhou","Tokyo","0.0168944"
"Cairo","Tokyo","0.00519707"
"Beijing","Tokyo","0.0232599"
"New-York","Tokyo","0.00458668"
"Kolkata","Tokyo","0.00963225"
"Moscow","Tokyo","0.00663731"
"Bangkok","Tokyo","0.0107322"
"Dhaka","Tokyo","0.0101066"
"Buenos-Aires","Tokyo","0.0027156"
"Osaka","Tokyo","0.109766"
"Lagos","Tokyo","0.00369497"
"Istanbul","Tokyo","0.00555452"
"Karachi","Tokyo","0.00715675"
"Kinshasa","Tokyo","0.00372838"
"Shenzhen","Tokyo","0.0170561"
"Bangalore","Tokyo","0.00744153"
"Ho-Chi-Minh-City","Tokyo","0.0114077"
"Tehran","Tokyo","0.00647992"
"Los-Angeles","Tokyo","0.00565388"
"Rio-de-Janeiro","Tokyo","0.00268589"
"Chengdu","Tokyo","0.0146987"
"Baoding","Tokyo","0.0225071"
"Chennai","Tokyo","0.00772595"
"Lahore","Tokyo","0.008315"
"London","Tokyo","0.00520167"
"Paris","Tokyo","0.00511982"
"Tianjin","Tokyo","0.024102"
"Linyi","Tokyo","0.0251181"
"Shijiazhuang","Tokyo","0.0216828"
"Zhengzhou","Tokyo","0.0206818"
"Nanyang","Tokyo","0.0195228"
"Hyderabad","Tokyo","0.00784306"
"Wuhan","Tokyo","0.0201425"
"Handan","Tokyo","0.0215877"
"Nagoya","Tokyo","0.158674"
"Weifang","Tokyo","0.0262459"
"Lima","Tokyo","0.00321827"
"Zhoukou","Tokyo","0.0212413"
"Luanda","Tokyo","0.00359658"
"Ganzhou","Tokyo","0.0188366"
"Tongshan","Tokyo","0.0236999"
"Kuala-Lumpur","Tokyo","0.00930031"
"Chicago","Tokyo","0.00490899"
"Heze","Tokyo","0.0222268"
"Chongqing","Tokyo","0.0155107"
"Hanoi","Tokyo","0.0134282"
"Fuyang","Tokyo","0.0220448"
"Changsha","Tokyo","0.0185005"
"Dongguan","Tokyo","0.0171021"
"Jining","Tokyo","0.0233087"
"Jinan","Tokyo","0.02388"
"Pune","Tokyo","0.0074348"
"Foshan","Tokyo","0.0167855"
"Bogota","Tokyo","0.00348116"
"Ahmedabad","Tokyo","0.0075885"
"Nanjing","Tokyo","0.0246648"
"Changchun","Tokyo","0.0314337"
"Tangshan","Tokyo","0.0250464"
"Cangzhou","Tokyo","0.0237901"
"Dar-es-Salaam","Tokyo","0.00436906"
"Hefei","Tokyo","0.0230729"
"Hong-Kong","Tokyo","0.0170305"
"Shaoyang","Tokyo","0.0173508"
"Zhanjiang","Tokyo","0.0150434"
"Shangqiu","Tokyo","0.0222703"
"Nantong","Tokyo","0.0271843"
"Yancheng","Tokyo","0.0268267"
"Nanning","Tokyo","0.0147025"
"Hengyang","Tokyo","0.0178517"
"Zhumadian","Tokyo","0.0206051"
"Shenyang","Tokyo","0.0308791"
"Xingtai","Tokyo","0.021612"
"Xi'an","Tokyo","0.0175075"
"Santiago","Tokyo","0.00289388"
"Yantai","Tokyo","0.0292107"
"Riyadh","Tokyo","0.00571439"
"Luoyang","Tokyo","0.0197586"
"Kunming","Tokyo","0.0132534"
"Shangrao","Tokyo","0.0222085"
"Hangzhou","Tokyo","0.0253505"
"Bijie","Tokyo","0.0145732"
"Quanzhou","Tokyo","0.0208095"
"Miami","Tokyo","0.00415168"
"Wuxi","Tokyo","0.0262007"
"Huanggang","Tokyo","0.0205339"
"Maoming","Tokyo","0.0153833"
"Nanchong","Tokyo","0.015554"
"Zunyi","Tokyo","0.0153161"
"Qujing","Tokyo","0.0136956"
"Baghdad","Tokyo","0.00595275"
"Xinyang","Tokyo","0.0204238"
"Tokyo","Jakarta","0.00856062"
"Delhi","Jakarta","0.00987921"
"Manila","Jakarta","0.0176019"
"Sao-Paulo","Jakarta","0.00318911"
"Seoul","Jakarta","0.00935153"
"Mumbai","Jakarta","0.0106074"
"Shanghai","Jakarta","0.0111416"
"Mexico-City","Jakarta","0.00295936"
"Guangzhou","Jakarta","0.0147646"
"Cairo","Jakarta","0.0055335"
"Beijing","Jakarta","0.00948557"
"New-York","Jakarta","0.00308065"
"Kolkata","Jakarta","0.013054"
"Moscow","Jakarta","0.00534059"
"Bangkok","Jakarta","0.0210325"
"Dhaka","Jakarta","0.0130614"
"Buenos-Aires","Jakarta","0.0032746"
"Osaka","Jakarta","0.00908327"
"Lagos","Jakarta","0.00430524"
"Istanbul","Jakarta","0.00525964"
"Karachi","Jakarta","0.00897099"
"Kinshasa","Jakarta","0.00491438"
"Shenzhen","Jakarta","0.0149626"
"Bangalore","Jakarta","0.0127461"
"Ho-Chi-Minh-City","Jakarta","0.025721"
"Tehran","Jakarta","0.00669255"
"Los-Angeles","Jakarta","0.00345224"
"Rio-de-Janeiro","Jakarta","0.00323157"
"Chengdu","Jakarta","0.0120165"
"Baoding","Jakarta","0.00972499"
"Chennai","Jakarta","0.0135663"
"Lahore","Jakarta","0.00911839"
"London","Jakarta","0.00424859"
"Paris","Jakarta","0.00429705"
"Tianjin","Jakarta","0.00960516"
"Linyi","Jakarta","0.0104272"
"Shijiazhuang","Jakarta","0.00993118"
"Zhengzhou","Jakarta","0.0107278"
"Nanyang","Jakarta","0.0112322"
"Hyderabad","Jakarta","0.0121289"
"Wuhan","Jakarta","0.0118532"
"Handan","Jakarta","0.0102498"
"Nagoya","Jakarta","0.00889388"
"Weifang","Jakarta","0.0100175"
"Lima","Jakarta","0.0027796"
"Zhoukou","Jakarta","0.0109757"
"Luanda","Jakarta","0.00483288"
"Ganzhou","Jakarta","0.0134459"
"Tongshan","Jakarta","0.0106835"
"Kuala-Lumpur","Jakarta","0.0403962"
"Chicago","Jakarta","0.00315422"
"Heze","Jakarta","0.0105357"
"Chongqing","Jakarta","0.0124162"
"Hanoi","Jakarta","0.0162294"
"Fuyang","Jakarta","0.0111085"
"Changsha","Jakarta","0.0127142"
"Dongguan","Jakarta","0.0147526"
"Jining","Jakarta","0.010443"
"Jinan","Jakarta","0.0101345"
"Pune","Jakarta","0.0108843"
"Foshan","Jakarta","0.014827"
"Bogota","Jakarta","0.00251761"
"Ahmedabad","Jakarta","0.0100128"
"Nanjing","Jakarta","0.0111397"
"Changchun","Jakarta","0.00844681"
"Tangshan","Jakarta","0.00947189"
"Cangzhou","Jakarta","0.00979048"
"Dar-es-Salaam","Jakarta","0.00665961"
"Hefei","Jakarta","0.0112959"
"Hong-Kong","Jakarta","0.0150578"
"Shaoyang","Jakarta","0.0131463"
"Zhanjiang","Jakarta","0.0160121"
"Shangqiu","Jakarta","0.0107235"
"Nantong","Jakarta","0.0109875"
"Yancheng","Jakarta","0.0107023"
"Nanning","Jakarta","0.0152329"
"Hengyang","Jakarta","0.0132158"
"Zhumadian","Jakarta","0.011177"
"Shenyang","Jakarta","0.0088514"
"Xingtai","Jakarta","0.0101471"
"Xi'an","Jakarta","0.0109733"
"Santiago","Jakarta","0.00319554"
"Yantai","Jakarta","0.00975538"
"Riyadh","Jakarta","0.00675441"
"Luoyang","Jakarta","0.0107933"
"Kunming","Jakarta","0.0140669"
"Shangrao","Jakarta","0.0122436"
"Hangzhou","Jakarta","0.0115041"
"Bijie","Jakarta","0.0132253"
"Quanzhou","Jakarta","0.0133789"
"Miami","Jakarta","0.00281474"
"Wuxi","Jakarta","0.0111441"
"Huanggang","Jakarta","0.0118603"
"Maoming","Jakarta","0.0157166"
"Nanchong","Jakarta","0.0120004"
"Zunyi","Jakarta","0.0130832"
"Qujing","Jakarta","0.0139162"
"Baghdad","Jakarta","0.00628958"
"Xinyang","Jakarta","0.0114117"
"Tokyo","Delhi","0.00848653"
"Jakarta","Delhi","0.00987921"
"Manila","Delhi","0.0104045"
"Sao-Paulo","Delhi","0.00345308"
"Seoul","Delhi","0.0105604"
"Mumbai","Delhi","0.0415348"
"Shanghai","Delhi","0.0116397"
"Mexico-City","Delhi","0.00340084"
"Guangzhou","Delhi","0.0135372"
"Cairo","Delhi","0.0111642"
"Beijing","Delhi","0.0130673"
"New-York","Delhi","0.00423785"
"Kolkata","Delhi","0.0368738"
"Moscow","Delhi","0.0113944"
"Bangkok","Delhi","0.0168351"
"Dhaka","Delhi","0.0339296"
"Buenos-Aires","Delhi","0.0031558"
"Osaka","Delhi","0.00904944"
"Lagos","Delhi","0.00614469"
"Istanbul","Delhi","0.010869"
"Karachi","Delhi","0.0435673"
"Kinshasa","Delhi","0.00657646"
"Shenzhen","Delhi","0.0131879"
"Bangalore","Delhi","0.0278581"
"Ho-Chi-Minh-City","Delhi","0.0135315"
"Tehran","Delhi","0.0192897"
"Los-Angeles","Delhi","0.00387797"
"Rio-de-Janeiro","Delhi","0.00353994"
"Chengdu","Delhi","0.0188872"
"Baoding","Delhi","0.0133894"
"Chennai","Delhi","0.0276011"
"Lahore","Delhi","0.10566"
"London","Delhi","0.00739912"
"Paris","Delhi","0.00753792"
"Tianjin","Delhi","0.0128688"
"Linyi","Delhi","0.0125933"
"Shijiazhuang","Delhi","0.013735"
"Zhengzhou","Delhi","0.0141101"
"Nanyang","Delhi","0.0145352"
"Hyderabad","Delhi","0.0380633"
"Wuhan","Delhi","0.0137987"
"Handan","Delhi","0.0137888"
"Nagoya","Delhi","0.00884886"
"Weifang","Delhi","0.0123839"
"Lima","Delhi","0.00297254"
"Zhoukou","Delhi","0.0137572"
"Luanda","Delhi","0.00619411"
"Ganzhou","Delhi","0.0132393"
"Tongshan","Delhi","0.0129298"
"Kuala-Lumpur","Delhi","0.01285"
"Chicago","Delhi","0.00414129"
"Heze","Delhi","0.0134925"
"Chongqing","Delhi","0.0173026"
"Hanoi","Delhi","0.0163821"
"Fuyang","Delhi","0.0133485"
"Changsha","Delhi","0.0141513"
"Dongguan","Delhi","0.0133544"
